ID,Name,Nationality,Overall,Value,Wage,Preferred Foot,Work Rate,Body Type,Position,Height,Weight,Release Clause,Year,in_2019,in_2020,in_2021,in_2022,in_2023,Age in 2019,Age in 2023,2019 Club,2020 Club,2021 Club,2022 Club,2023 Club,Total Clubs 2019-2023
176580,L. Suárez,Uruguay,84,€18M,€1K,Right,High/ Medium,Unique,Left Striker,182cm,86kg,€39.6M,2023,1,1,1,1,1,31,35,FC Barcelona,FC Barcelona,Atlético Madrid,Atlético de Madrid,Club Nacional de Football,4
194765,A. Griezmann,France,83,€30.5M,€185K,Left,Medium/ Medium,Unique,Right Striker,176cm,73kg,€6.3M,2023,1,1,1,1,1,27,31,Atlético Madrid,FC Barcelona,FC Barcelona,Atlético de Madrid,Atlético de Madrid,3
177003,L. Modrić,Croatia,88,€29M,€230K,Right,Medium/ Medium,Lean (170-185),Right Centre Midfield,172cm,66kg,€59.5M,2023,1,1,1,1,1,32,36,Real Madrid,Real Madrid,Real Madrid,Real Madrid CF,Real Madrid CF,2
224334,M. Acuña,Argentina,85,€46.5M,€46K,Left,High/ High,Stocky (170-185),Left Back,172cm,69kg,€97.7M,2023,1,1,1,1,1,26,30,Sporting CP,Sporting CP,Sevilla FC,Sevilla FC,Sevilla FC,2
192985,K. De Bruyne,Belgium,91,€107.5M,€350K,Right,High/ High,Unique,Right Centre Midfield,181cm,70kg,€198.9M,2023,1,1,1,1,1,27,31,Manchester City,Manchester City,Manchester City,Manchester City,Manchester City,1
178518,R. Nainggolan,Belgium,76,€3.5M,€22K,Right,Medium/ Low,Unique,Right Centre Midfield,177cm,89kg,€5.3M,2023,1,1,1,1,1,30,34,Inter,Cagliari,Inter,Royal Antwerp FC,Royal Antwerp FC,3
212198,B. Fernandes,Portugal,86,€78.5M,€190K,Right,High/ High,Unique,Left Centre Midfield,179cm,69kg,€155.0M,2023,1,1,1,1,1,23,27,Sporting CP,Manchester United,Manchester United,Manchester United,Manchester United,2
176676,M. arcelo,Brazil,79,€9M,€125K,Left,High/ Low,Unique,Substitute,174cm,75kg,€18.5M,2023,1,1,1,1,1,30,33,Real Madrid,Real Madrid,Real Madrid,Real Madrid CF,Real Madrid CF,2
212462,A. Telles,Brazil,80,€18.5M,€110K,Left,High/ Low,Unique,Substitute,181cm,71kg,€6.3M,2023,1,1,1,1,1,25,29,FC Porto,FC Porto,FC Porto,Manchester United,Sevilla FC,3
173731,G. Bale,Wales,81,€20.5M,€14K,Left,Medium/ Medium,Unique,Right Striker,185cm,82kg,€30.8M,2023,1,1,1,1,1,28,32,Real Madrid,Real Madrid,Tottenham Hotspur,Real Madrid CF,Los Angeles FC,4
