ID,Name,SearchURL,Player,Date,Year,Month,Day,Club,MarketValue,€ Unit,Avg Year MV
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2025-05-27,2025,05,27,Manchester United,49.0,M,49.0
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2024-12-27,2024,12,27,Manchester United,53.0,M,62.75
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2024-09-29,2024,09,29,Manchester United,63.0,M,62.75
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2024-06-28,2024,06,28,Manchester United,68.0,M,62.75
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2024-05-05,2024,05,05,Manchester United,67.0,M,62.75
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2023-11-25,2023,11,25,Manchester United,67.0,M,72.0
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2023-05-28,2023,05,28,Manchester United,77.0,M,72.0
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2022-11-19,2022,11,19,Manchester United,77.0,M,82.0
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2022-06-09,2022,06,09,Manchester United,87.0,M,82.0
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2021-12-16,2021,12,16,Manchester United,87.0,M,88.0
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2021-06-19,2021,06,19,Manchester United,86.0,M,88.0
212198,Bruno Fernandes,https://www.google.com/search?q=Bruno+Fernandes+zerozero+valor-de-mercado,8.Bruno Fernandes,2021-02-20,2021,02,20,Manchester United,86.0,M,88.0
